field,conf_bucket,n,actual_accuracy,mean_confidence
age,90-100,918,1.0,100.0
sex,90-100,918,0.789760348583878,100.0
cp,90-100,807,0.42627013630731103,100.0
trestbps,90-100,917,1.0,100.0
chol,90-100,832,0.9987980769230769,100.0
fbs,90-100,918,0.9978213507625272,100.0
restecg,90-100,918,0.9869281045751634,100.0
thalach,90-100,898,1.0,100.0
exang,90-100,918,0.9967320261437909,100.0
oldpeak,90-100,909,0.9911991199119912,100.0
slope,90-100,865,0.9965317919075144,100.0
